fecha,caudal_rio_coca_m3s,caudal_derivado_css_m3s,caudal_frente_erosion_m3s,frente_erosion_texto_m3s,balance_error_m3s,status,source,pdf_path,remote_path,ocr_text
2024-01-01,"213,80","188,30","25,30",,"0,2000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\01 01 2024.pdf,2024/01 enero 2024/01 01 2024.pdf,"«dereferencia« Q: 24.8 m3/se , Hora 14:00 Hidrogramas horarios 01/01/2024 Río Coca y CCS. QmeF213.8 m3/s QmeF188.3 m3/s QmeF25.3 m3/s 250 225 200 175 150 125 100 75 50 25 Fuente: Bitácora Captación CCS 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 Río Coca ——Q. Derivado a CCS Horas 16:00 18:00 20:00 22:00 0:00 Q. Frente de erosión 5n, confluencia río Loco y río Coca «dereferencia« Q: 24.8 m3/se , Hora 14:00 Hidrogramas horarios 01/01/2024 Río Coca y CCS. QmeF213.8 m3/s QmeF188.3 m3/s QmeF25.3 m3/s "
2024-01-02,"192,80","172,40","20,40",,"0,0000",ok,page1:mid_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\02 01 2024.pdf,2024/01 enero 2024/02 01 2024.pdf,"m3/s r 2023 161 las días 10 12 14 16 18 3Ción (km) 7+500'* eploques pco os, -dereferenc a Q: 20.0 m3/se , Hora 11:00 Hidrogramas horarios 02/01/2024 Qmed=192.8 m3/s QmeF172.4 m3/s QmeF20.4 m3/s Río Coca y CCS. 250 225 200 175 150 125 100 75 m3/s r 2023 161 las días 10 12 14 16 18 3Ción (km) 7+500'* eploques pco os, -dereferenc a Q: 20.0 m3/se , Hora 11:00 Hidrogramas horarios 02/01/2024 Qmed=192.8 m3/s QmeF172.4 m3/s QmeF20.4 m3/s Río Coca y CCS. 250 225 200 175 150 125 100 75"
2024-01-03,"193,20","172,00","21,30",,"0,1000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\03 01 2024.pdf,2024/01 enero 2024/03 01 2024.pdf,"Q: 19.8 m3/se , Hora 14:00 Hidrogramas horarios 03/01/2024 Río Coca y CCS. 250 225 200 175 150 125 QmeF193.2 m3/s 100 QmeF172.O m3/s 75 QmeF21.3 m3/s 50 25 Hora 8:00 10.00 12:00 14:00 16:00 18:00 20:00 22:00 0:00 Frente de erosión ---—Q. Río Coca -—Q. Derivado a CCS ión, sector campamento La Loma Q: 19.8 m3/se , Hora 14:00 Hidrogramas horarios 03/01/2024 Río Coca y CCS. 250 225 200 175 150 125 QmeF193.2 m3/s 100 QmeF172.O m3/s 75 QmeF21.3 m3/s 50 25 Hora 8:00 10.00 12:00 14:00 16:00 18:00 20:00 "
2024-01-04,"201,20","179,50","21,70",,"0,0000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\04 01 2024.pdf,2024/01 enero 2024/04 01 2024.pdf,"Q: 20.0 m3/se , Hora 17:00 Hidrogramas horarios 04/01/2024 Río Coca y CCS. QmeF201.2 m3/s QmeF179.5 m3/s QmeF21.7 m3/s Fuente: Bitácora Captación CCS 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 16:00 18:00 20:00 22:00 0:00 Derivado a CCS Frente de erosión Río Coca erosión, km 8+400 — 9+500 240 220 200 180 160 140 120 100 40 20 Q: 20.0 m3/se , Hora 17:00 Hidrogramas horarios 04/01/2024 Río Coca y CCS. QmeF201.2 m3/s QmeF179.5 m3/s QmeF21.7 m3/s Fuente: Bitácora Captación CCS 0:00 2:00 4:00 6:00 8:"
2024-01-05,"193,00","165,20","33,90",,"6,10",review,page1:bottom_right_chart|original_pdf_values_bal6.1,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\05 01 2024.pdf,2024/01 enero 2024/05 01 2024.pdf,"Q: 20.6 m3/se , Hora 14:00 Hidrogramas horarios 05/01/2024 Río Coca y CCS. QmeF193.O m3/s QmeF165.2 m3/s QmeF33.9 m3/s Fuente: Bitácora Ca tación CCS 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 16:00 18:00 20:00 22:00 0:00 240 220 200 180 160 140 120 100 80 40 20 Río Coca Derivado a CCS ------Q. Frente de erosión erosión, sector río Marker Q: 20.6 m3/se , Hora 14:00 Hidrogramas horarios 05/01/2024 Río Coca y CCS. QmeF193.O m3/s QmeF165.2 m3/s QmeF33.9 m3/s Fuente: Bitácora Ca tación CCS 0:00 2:00"
2024-01-06,"180,00","180,00","0,00",,"0,0000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\06 01 2024.pdf,2024/01 enero 2024/06 01 2024.pdf,"Q: 180.0 m3/seg, Hora 16:00 Hidrogramas horarios 06/01/2024 Río Coca y CCS. QmeF180.O m 3/S QmeFO.O m3/s QmeF180.O m3/s Fuente: Bitácora Ca tacidn CCS 240 220 200 180 160 140 120 100 80 40 20 as- 0 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 16:00 18:00 20:00 22:00 0:00 Río Coca ----—Q. Derivado a CCS Frente de erosión , sector confluencia ríos Loco y Coca Q: 180.0 m3/seg, Hora 16:00 Hidrogramas horarios 06/01/2024 Río Coca y CCS. QmeF180.O m 3/S QmeFO.O m3/s QmeF180.O m3/s Fuente: Bitácora Ca ta"
2024-01-07,"167,90","122,30","41,30",,"4,3000",ok,page1:mid_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\07 01 2024.pdf,2024/01 enero 2024/07 01 2024.pdf,"m3/s r 2023 166 días días 10 12 14 16 18 3Ción (km) Q: 180.0 m3/seg, Hora 16:00 Hidrogramas horarios 07/01/2024 Río Coca y CCS. Qmed=167.9 m3/s QmeF41.3 3/S 240 220 200 180 160 140 120 100 80 m3/s r 2023 166 días días 10 12 14 16 18 3Ción (km) Q: 180.0 m3/seg, Hora 16:00 Hidrogramas horarios 07/01/2024 Río Coca y CCS. Qmed=167.9 m3/s QmeF41.3 3/S 240 220 200 180 160 140 120 100 80"
2024-01-08,"147,10","127,20","19,90",,"0,0000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\08 01 2024.pdf,2024/01 enero 2024/08 01 2024.pdf,"Q: 180.0 m3/seg, Hora 16:00 Hidrogramas horarios 08/01/2024 Río Coca y CCS. E 147.1 m3/s QmeF -127.2 3/s Qmed— 19.9 m3/s QmeF Fuente: Bitácora Captación CCS 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 240 220 200 180 160 140 120 100 80 60 40 20 Horas O Río Coca ——Q. Derivado a CCS 16:00 18:00 20:00 22:00 0:00 Frente de erosión erosión, sector San Carlos Q: 180.0 m3/seg, Hora 16:00 Hidrogramas horarios 08/01/2024 Río Coca y CCS. E 147.1 m3/s QmeF -127.2 3/s Qmed— 19.9 m3/s QmeF Fuente: Bitácora Ca"
2024-01-09,"142,50","122,70","19,90",,"0,1000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\09 01 2024 (1).pdf,2024/01 enero 2024/09 01 2024 (1).pdf,"t'détef&éncia Q: 20.1 m3/seg, Hora 16:00 Hidrogramas horarios 09/01/2024 Río Coca y CCS. QmeF142.5 m3/s QmeF122.7 3/S QmeF19.9 m3/s Fuente: Bitácora Captación CCS 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 Río Coca Derivado a CCS 240 220 200 180 160 140 120 100 80 60 40 20 Horas 16:00 18:00 20:00 22:00 0:00 Frente de erosión 2 erosión, sector San Carlos t'détef&éncia Q: 20.1 m3/seg, Hora 16:00 Hidrogramas horarios 09/01/2024 Río Coca y CCS. QmeF142.5 m3/s QmeF122.7 3/S QmeF19.9 m3/s Fuente: Bitá"
2024-01-10,"137,00","20,10","116,90",,"0,0000",ok,page1:bottom_right_chart,C:\Users\HP\OneDrive\JpE\Github\celec\CCS\downloads\celec_pdfs\2024\01 enero 2024\10 01 2024 (1).pdf,2024/01 enero 2024/10 01 2024 (1).pdf,"Q: 20.0 m3/seg, Hora 16:00 Hidrogramas horarios 10/01/2024 Río Coca y CCS. 240 220 QmeF137.O m3/s 200 QmeF116.9 3/S 180 QmeF20.I m 3/S 160 140 120 100 40 20 Fuente: Bitácora Ca tación CCS ora 0:00 2:00 4:00 6:00 8:00 10:00 12:00 14:00 16:00 18:00 20:00 22:00 0:00 Frente de erosión -—Q. Río Coca ----—Q. Derivado a CCS ia ríos Loco y Coca / avance erosión en río loco Q: 20.0 m3/seg, Hora 16:00 Hidrogramas horarios 10/01/2024 Río Coca y CCS. 240 220 QmeF137.O m3/s 200 QmeF116.9 3/S 180 QmeF20.I m 3"
