Fecha,EnergiaCsr,EnergiaMol,EnergiaMaz,EnergiaSop,EnergiaMsf
"30/11/2022 00:00:00",29389.302258,16278.757348,2880.641794,9449.053116,780.85
"29/11/2022 00:00:00",28552.10643,15703.585671,3120.869542,9021.591217,706.06
"28/11/2022 00:00:00",28649.246337,16244.833746,2593.313564,9204.849027,606.25
"27/11/2022 00:00:00",18676.207023,10423.5354,1493.694537,6046.227086,712.75
"26/11/2022 00:00:00",20151.041438,11926.572515,1044.89363,6704.445293,475.13
"25/11/2022 00:00:00",23651.513758,13485.293164,1904.347436,7767.883158,493.99
"24/11/2022 00:00:00",26744.003628,14906.951299,2913.721175,8384.171154,539.16
"23/11/2022 00:00:00",23452.278117,12845.652085,2315.328569,7320.797463,970.5
"22/11/2022 00:00:00",19267.531677,10856.524896,1834.045627,6155.801154,421.16
"21/11/2022 00:00:00",19946.920068,11576.931528,1402.860639,6533.627901,433.5
"20/11/2022 00:00:00",22641.670072,13163.898376,1592.528111,7407.123585,478.12
"19/11/2022 00:00:00",24634.808118,13794.133228,2018.148905,7911.675985,910.85
"18/11/2022 00:00:00",28138.755145,14502.637259,2791.358717,8223.069169,2621.69
"17/11/2022 00:00:00",19190.781141,8400.080289,0,4826.360852,5964.34
"16/11/2022 00:00:00",26839.774162,14051.466973,2601.690624,7881.556565,2305.06
"15/11/2022 00:00:00",14612.580113,8425.222768,1003.740332,4819.737013,363.88
"14/11/2022 00:00:00",23445.261363,13508.965209,1771.309562,7665.106592,499.88
"13/11/2022 00:00:00",15419.48412,9324.23765,560.662324,5198.964146,335.62
"12/11/2022 00:00:00",19449.003104,11030.143244,1811.301507,6221.688353,385.87
"11/11/2022 00:00:00",18835.107782,10224.505179,2352.47418,5866.498423,391.63
"10/11/2022 00:00:00",21727.720089,11825.799539,2707.303203,6862.117347,332.5
"09/11/2022 00:00:00",23978.08013478,13558.548678,2044.913056,7765.49840078,609.12
"08/11/2022 00:00:00",24320.99477678,14138.761947,1386.83208,8220.77074978,574.63
"07/11/2022 00:00:00",24438.63613178,13581.464119,2024.25721,7630.58480278,1202.33
"06/11/2022 00:00:00",20920.372881,10961.604448,2577.794803,6262.96363,1118.01
"05/11/2022 00:00:00",21775.274108,11769.52205,2216.476915,6702.205143,1087.07
"04/11/2022 00:00:00",19912.458552,10924.839078,2097.371264,6244.24821,646
"03/11/2022 00:00:00",13929.39180978,8162.726592,223.023657,4587.39156078,956.25
"02/11/2022 00:00:00",17823.64149578,9862.85472,1856.845098,5698.69167778,405.25
"01/11/2022 00:00:00",26591.091047,14869.733694,2565.649265,8649.813088,505.895
