date,year,doy365,mmdd,series,metric,value,is_placeholder
2020-01-01,2020,1,01-ene,Cuenca del Rio Paute,Caudal (m³/s),194.57778333333331,0
2020-01-01,2020,1,01-ene,Mazar,Caudal (m³/s),157.49301992,0
2020-01-01,2020,1,01-ene,Mazar,Cota (msnm),2153.98,0
2020-01-01,2020,1,01-ene,Minas San Francisco,Caudal (m³/s),162.64080277083335,0
2020-01-01,2020,1,01-ene,Minas San Francisco,Cota (msnm),792.73,0
2020-01-01,2020,1,01-ene,Molino,Caudal (m³/s),143.99166666666667,0
2020-01-01,2020,1,01-ene,Molino,Cota (msnm),1988.8935547,0
2020-01-01,2020,1,01-ene,Sopladora,Caudal (m³/s),81.43315079583333,0
2020-01-01,2020,1,01-ene,Sopladora,Cota (msnm),1315.9177246,0
2020-01-02,2020,2,02-ene,Cuenca del Rio Paute,Caudal (m³/s),184.7415125,0
2020-01-02,2020,2,02-ene,Mazar,Caudal (m³/s),148.89951304,0
2020-01-02,2020,2,02-ene,Mazar,Cota (msnm),2153.56,0
2020-01-02,2020,2,02-ene,Minas San Francisco,Caudal (m³/s),136.7250800958333,0
2020-01-02,2020,2,02-ene,Minas San Francisco,Cota (msnm),792.83,0
2020-01-02,2020,2,02-ene,Molino,Caudal (m³/s),226.4333333333333,0
2020-01-02,2020,2,02-ene,Molino,Cota (msnm),1990.7825928,0
2020-01-02,2020,2,02-ene,Sopladora,Caudal (m³/s),101.30394915833334,0
2020-01-02,2020,2,02-ene,Sopladora,Cota (msnm),1316.1561279,0
2020-01-03,2020,3,03-ene,Cuenca del Rio Paute,Caudal (m³/s),222.55025,0
2020-01-03,2020,3,03-ene,Mazar,Caudal (m³/s),181.49622853625,0
2020-01-03,2020,3,03-ene,Mazar,Cota (msnm),2153.62,0
2020-01-03,2020,3,03-ene,Minas San Francisco,Caudal (m³/s),176.42285398333334,0
2020-01-03,2020,3,03-ene,Minas San Francisco,Cota (msnm),792.5,0
2020-01-03,2020,3,03-ene,Molino,Caudal (m³/s),209.3083333333333,0
2020-01-03,2020,3,03-ene,Molino,Cota (msnm),1990.9580078,0
2020-01-03,2020,3,03-ene,Sopladora,Caudal (m³/s),109.2899055,0
2020-01-03,2020,3,03-ene,Sopladora,Cota (msnm),1315.8109131,0
2020-01-04,2020,4,04-ene,Cuenca del Rio Paute,Caudal (m³/s),123.48446666666666,0
2020-01-04,2020,4,04-ene,Mazar,Caudal (m³/s),95.80928391875,0
2020-01-04,2020,4,04-ene,Mazar,Cota (msnm),2153.33,0
2020-01-04,2020,4,04-ene,Minas San Francisco,Caudal (m³/s),87.874536425,0
2020-01-04,2020,4,04-ene,Minas San Francisco,Cota (msnm),792.38,0
2020-01-04,2020,4,04-ene,Molino,Caudal (m³/s),154.52916666666667,0
2020-01-04,2020,4,04-ene,Molino,Cota (msnm),1990.8132324,0
2020-01-04,2020,4,04-ene,Sopladora,Caudal (m³/s),115.8903441,0
2020-01-04,2020,4,04-ene,Sopladora,Cota (msnm),1315.6213379,0
2020-01-05,2020,5,05-ene,Cuenca del Rio Paute,Caudal (m³/s),94.7843875,0
2020-01-05,2020,5,05-ene,Mazar,Caudal (m³/s),73.91453341708333,0
2020-01-05,2020,5,05-ene,Mazar,Cota (msnm),2153.48,0
2020-01-05,2020,5,05-ene,Minas San Francisco,Caudal (m³/s),70.73248819583333,0
2020-01-05,2020,5,05-ene,Minas San Francisco,Cota (msnm),792.54,0
2020-01-05,2020,5,05-ene,Molino,Caudal (m³/s),84.8125,0
2020-01-05,2020,5,05-ene,Molino,Cota (msnm),1989.7314453,0
2020-01-05,2020,5,05-ene,Sopladora,Caudal (m³/s),107.26469546666668,0
2020-01-05,2020,5,05-ene,Sopladora,Cota (msnm),1316.1385498,0
2020-01-06,2020,6,06-ene,Cuenca del Rio Paute,Caudal (m³/s),87.415175,0
2020-01-06,2020,6,06-ene,Mazar,Caudal (m³/s),64.63739836958334,0
2020-01-06,2020,6,06-ene,Mazar,Cota (msnm),2153.19,0
2020-01-06,2020,6,06-ene,Minas San Francisco,Caudal (m³/s),65.65956041666666,0
2020-01-06,2020,6,06-ene,Minas San Francisco,Cota (msnm),791.61,0
2020-01-06,2020,6,06-ene,Molino,Caudal (m³/s),115.44583333333334,0
2020-01-06,2020,6,06-ene,Molino,Cota (msnm),1989.5498047,0
2020-01-06,2020,6,06-ene,Sopladora,Caudal (m³/s),121.68629061666668,0
2020-01-06,2020,6,06-ene,Sopladora,Cota (msnm),1315.9069824,0
2020-01-07,2020,7,07-ene,Cuenca del Rio Paute,Caudal (m³/s),75.1982,0
2020-01-07,2020,7,07-ene,Mazar,Caudal (m³/s),48.99398414416667,0
2020-01-07,2020,7,07-ene,Mazar,Cota (msnm),2153.0375977,0
2020-01-07,2020,7,07-ene,Minas San Francisco,Caudal (m³/s),46.23364877083333,0
2020-01-07,2020,7,07-ene,Minas San Francisco,Cota (msnm),789.85,0
2020-01-07,2020,7,07-ene,Molino,Caudal (m³/s),89.63333333333334,0
2020-01-07,2020,7,07-ene,Molino,Cota (msnm),1988.6303711,0
2020-01-07,2020,7,07-ene,Sopladora,Caudal (m³/s),119.19806773333332,0
2020-01-07,2020,7,07-ene,Sopladora,Cota (msnm),1315.9611816,0
2020-01-08,2020,8,08-ene,Cuenca del Rio Paute,Caudal (m³/s),63.739425,0
2020-01-08,2020,8,08-ene,Mazar,Caudal (m³/s),46.03800924375,0
2020-01-08,2020,8,08-ene,Mazar,Cota (msnm),2152.9,0
2020-01-08,2020,8,08-ene,Minas San Francisco,Caudal (m³/s),39.81759151666667,0
2020-01-08,2020,8,08-ene,Minas San Francisco,Cota (msnm),789.41,0
2020-01-08,2020,8,08-ene,Molino,Caudal (m³/s),77.9375,0
2020-01-08,2020,8,08-ene,Molino,Cota (msnm),1986.9387207,0
2020-01-08,2020,8,08-ene,Sopladora,Caudal (m³/s),134.887318375,0
2020-01-08,2020,8,08-ene,Sopladora,Cota (msnm),1315.8723145,0
2020-01-09,2020,9,09-ene,Cuenca del Rio Paute,Caudal (m³/s),51.9739875,0
2020-01-09,2020,9,09-ene,Mazar,Caudal (m³/s),38.712774699583335,0
2020-01-09,2020,9,09-ene,Mazar,Cota (msnm),2152.68,0
2020-01-09,2020,9,09-ene,Minas San Francisco,Caudal (m³/s),34.60762745416667,0
2020-01-09,2020,9,09-ene,Minas San Francisco,Cota (msnm),787.66,0
2020-01-09,2020,9,09-ene,Molino,Caudal (m³/s),67.98333333333333,0
