date,coca,css,frente,balance,status
2024-01-01,213.8,188.3,25.3,0.2,ok
2024-01-02,192.8,172.4,20.4,0.0,ok
2024-01-03,193.2,172.0,21.3,0.1,ok
2024-01-04,201.2,179.5,21.7,0.0,ok
2024-01-05,193.0,165.2,33.9,6.1,review
2024-01-06,180.0,180.0,0.0,0.0,ok
2024-01-07,167.9,122.3,41.3,4.3,ok
2024-01-08,147.1,127.2,19.9,0.0,ok
2024-01-09,142.5,122.7,19.9,0.1,ok
2024-01-10,137.0,20.1,116.9,0.0,ok
2024-01-11,128.3,108.4,19.9,0.0,ok
2024-01-12,122.0,102.2,19.8,0.0,ok
2024-01-13,119.3,99.6,19.7,0.0,ok
2024-01-14,115.8,95.7,20.1,0.0,ok
2024-01-15,161.1,141.1,20.0,0.0,ok
2024-01-16,192.2,169.0,24.5,1.3,ok
2024-01-17,362.5,221.5,139.5,1.5,ok
2024-01-18,541.4,216.5,324.9,0.0,ok
2024-01-19,339.7,195.5,144.2,0.0,ok
2024-01-20,500.5,209.9,290.6,0.0,ok
2024-01-21,1165.2,105.5,1059.7,0.0,ok
2024-01-22,635.3,196.5,438.9,0.1,ok
2024-01-23,343.0,221.4,121.6,0.0,ok
2024-01-24,250.4,205.1,45.4,0.1,ok
2024-01-25,217.0,191.0,26.1,0.1,ok
2024-01-26,193.3,173.6,19.7,0.0,ok
2024-01-27,193.3,173.6,19.7,0.0,ok
2024-01-28,163.8,143.6,20.2,0.0,ok
2024-01-29,155.0,135.0,20.0,0.0,ok
2024-01-30,146.6,126.4,20.2,0.0,ok
2024-01-31,140.8,120.7,20.1,0.0,ok
2024-02-01,135.4,115.5,19.9,0.0,ok
2024-02-02,162.2,138.4,23.9,0.1,ok
2024-02-03,154.6,76.1,78.5,0.0,ok
2024-02-04,222.6,190.3,32.3,0.0,ok
2024-02-05,342.2,208.5,133.6,0.1,ok
2024-02-06,300.3,195.7,104.6,0.0,ok
2024-02-07,200.3,179.0,21.3,0.0,ok
2024-02-08,200.7,175.8,24.8,0.1,ok
2024-02-09,223.2,173.7,49.4,0.1,ok
2024-02-10,384.1,200.1,184.0,0.0,ok
2024-02-11,344.9,203.0,142.0,0.1,ok
2024-02-12,306.7,200.0,106.7,0.0,ok
2024-02-13,348.0,207.6,140.4,0.0,ok
2024-02-14,335.0,211.4,122.7,0.9,ok
2024-02-15,469.8,244.5,223.9,1.4,ok
2024-02-16,455.8,217.2,235.7,2.9,review
2024-02-17,865.1,303.9,665.4,104.2,review
2024-02-18,480.2,208.9,276.8,5.5,ok
2024-02-19,293.0,210.8,83.9,1.7,ok
2024-02-20,234.0,206.1,28.0,0.1,ok
2024-02-21,216.8,194.7,21.9,0.2,ok
2024-02-22,198.9,177.7,21.2,0.0,ok
2024-02-23,185.6,164.5,20.3,0.8,ok
2024-02-24,264.4,196.5,67.0,0.9,ok
2024-02-25,241.7,193.3,49.5,1.1,review
2024-02-26,197.2,174.7,22.6,0.1,ok
2024-02-27,193.2,173.0,20.2,0.0,ok
2024-02-28,175.1,155.0,20.1,0.0,ok
